gain,exp,enemy
48.4,gen,4
90.4,gen,4
73,gen,4
40,gen,4
40.6,gen,4
4.6,gen,4
85.6,gen,4
90.4,gen,4
92.2,gen,4
81.4,gen,4
68.8,steady,4
71.2,steady,4
56.8,steady,4
43.6,steady,4
63.4,steady,4
83.8,steady,4
80.8,steady,4
59.2,steady,4
63.4,steady,4
89.2,steady,4
-20,gen,6
4.6,gen,6
28,gen,6
25,gen,6
34.6,gen,6
48.4,gen,6
26.8,gen,6
-20,gen,6
71.2,gen,6
33.4,gen,6
46,steady,6
-10,steady,6
40.6,steady,6
31,steady,6
92.8,steady,6
-20,steady,6
-20,steady,6
68.8,steady,6
90.4,steady,6
100,steady,6
55,gen,7
70,gen,7
88,gen,7
71.8,gen,7
80.8,gen,7
71.8,gen,7
69.4,gen,7
79.6,gen,7
62.8,gen,7
70,gen,7
28,steady,7
51.4,steady,7
69.4,steady,7
90.4,steady,7
67,steady,7
70,steady,7
69.4,steady,7
64,steady,7
24.4,steady,7
28.6,steady,7
